"group","name","palette"
"grays","without a stitch","#D7D2D4"
"grays","maximillian strasse-her","#BFCCC6"
"grays","the best-est","#C3C2CC"
"grays","mooning","#BAC1C7"
"grays","master plan","#D3CECE"
"grays","gadget free","#B3A7A2"
"grays","chinchilly","#C1B6B7"
"grays","serene slate","#B6B7B4"
"grays","social-lights","#CABEB9"
"grays","toned down","#A9A9B3"
"grays","merino cool","#B3A6AB"
"grays","smokin' hot","#908B96"
"grays","cashmere bathrobe","#8F9194"
"grays","petal pushers","#AAACB0"
"grays","for the twill of it","#959495"
"grays","winning streak","#91929B"
"grays","twill seeker","#787279"
"grays","tribal text-styles","#969492"
"grays","over the edge","#837E81"
"grays","hang up the heels","#565F5C"
"grays","on mute","#78777C"
"grays","generation zen","#78706D"
"grays","licorice","#4E4E4E"
"metallics-and-glitters","semi-precious tones","#BCA793"
"metallics-and-glitters","steel the show","#E1AA97"
"metallics-and-glitters","gorge-ous geodes","#D6A499"
"metallics-and-glitters","rock your world","#B9B8B4"
"metallics-and-glitters","what s gold is new","#C58E6D"
"metallics-and-glitters","sun-day style","#A67565"
"metallics-and-glitters","get a psy-kick out of it","#C95DA3"
"metallics-and-glitters","mani thanks","#F1DECA"
"metallics-and-glitters","happy medium","#F86DA1"
"metallics-and-glitters","birthday girl","#ECD2D8"
"metallics-and-glitters","congrats","#C4BCC6"
"metallics-and-glitters","million mile hues","#DBC48D"
"metallics-and-glitters","venture to the venue","#E6DCD7"
"metallics-and-glitters","beat of the moment","#EBC8D0"
"metallics-and-glitters","can't stop her in copper","#DAAE89"
"metallics-and-glitters","city slicker","#B17D97"
"metallics-and-glitters","stay up slate","#AAAAAF"
"metallics-and-glitters","night owl","#709FA4"
"metallics-and-glitters","après-chic","#CCCED3"
"metallics-and-glitters","a cut above","#C9A6A9"
"metallics-and-glitters","beyond cozy","#BEBAAF"
"metallics-and-glitters","daring damsel","#C4A593"
"metallics-and-glitters","empire shade of mind","#BDC0C0"
"metallics-and-glitters","fashion faceoff","#BBB8B3"
"metallics-and-glitters","getting groovy","#D8CAA4"
"metallics-and-glitters","gold gilding","#E7BABA"
"metallics-and-glitters","good as gold","#E8DDD1"
"metallics-and-glitters","jazzy jubilant","#BDBBBF"
"metallics-and-glitters","leggy legend","#BB9876"
"metallics-and-glitters","no place like chrome","#CFCFCF"
"metallics-and-glitters","penny talk","#C6B3AA"
"metallics-and-glitters","pure pearlfection","#EEEAE8"
"metallics-and-glitters","rock at the top","#D0C5AD"
"metallics-and-glitters","say it ain't soho","#D99D86"
"metallics-and-glitters","set in stones","#BEC0C4"
"metallics-and-glitters","sparkle on top","#EAE9E8"
"metallics-and-glitters","star studded","#E9C098"
"metallics-and-glitters","summit of style","#D1BEAA"
"metallics-and-glitters","to have and to gold","#D6C2B9"
"metallics-and-glitters","you're golden","#F0DEB7"
