"colors","names"
"#BBC7EA","bikini so teeny"
"#C4B4D2","tiers of joy"
"#C3D2E6","salt water happy"
"#B5C5DD","lapiz of luxury"
"#AEB7C9","as if!"
"#B6D7DB","first view"
"#A9D8DB","in the cab-ana"
"#8AC3DE","take the lead"
"#75C5EA","strut your stuff"
"#90C1C8","garden variety"
"#A7BAD0","glow with the flow"
"#B5B1CE","blue-tiful horizon"
"#A7B1DB","pret-a-surfer"
"#8899F0","butler please"
"#6F8DCF","mezmerised"
"#8F88C1","all access pass"
"#8382B5","find me a mannequin"
"#707D9D","loot the booty"
"#69818C","cause &amp; reflect"
"#7B8395","anchor down"
"#6C82A9","aruba blue"
"#656987","front page worthy"
"#868299","no more film"
"#79838D","on your mistletoes"
"#738B9B","bell-bottom blues"
"#739AA0","off duty style"
"#6F8A96","dressed to the nineties "
"#4B5B6A","surrounded by studs"
"#6E717E","after school boy blazer"
"#7079A5","style cartel"
"#3F586E","caviar bar"
"#747E90","booties on broadway"
"#8B8F9E","bobbing for baubles"
"#74789D","midnight cami"
"#F2F6D8","chillato"
"#E2F2E5","fashion playground"
"#939C9F","reign check"
"#418A54","but first, candy"
"#738364","sweater weather"
"#D9E0DB","sage you love me"
"#DBE4CE","zip me up"
"#D3E8DE","mint candy apple"
"#A8D0C6","empower-mint"
"#B0E8E2","turquoise &amp; caicos"
"#AEC4C9","udon know me"
"#BAD7D3","bon boy-age"
"#DFE1B8","take a walk"
"#AAC1A4","beauty nap"
"#BCB5AB","exposed"
"#9F9F98","spellbound"
"#A6D9DA","where's my chauffeur?"
"#B1EED6","first timer"
"#ABCFBC","jade to measure"
"#A2D2AF","mojito madness"
"#72D6D2","naughty nautical"
"#4B8484","stripes &amp; sails"
"#6F9299","trophy wife"
"#688A95","go overboard"
"#708683","off tropic"
"#6D8073","wrap party"
"#FEF2A9","avant-garment"
"#FCDEA6","hay there"
"#F3BC8C","fall for nyc"
"#FCE241","sweet supply"
"#E1E1E1","press pause"
"#A7938E","easily suede"
"#9C8D85","stop, look &amp; glisten"
"#D8DCDF","closing night"
"#D2D4DE","cocktail bling"
"#D7D2D4","without a stitch"
"#BFCCC6","maximillian strasse-her"
"#C3C2CC","the best-est"
"#BAC1C7","mooning"
"#D3CECE","master plan"
"#B3A7A2","gadget free"
"#C1B6B7","chinchilly"
"#B6B7B4","serene slate"
"#CABEB9","social-lights"
"#A9A9B3","toned down"
"#B3A6AB","merino cool"
"#908B96","smokin' hot"
"#8F9194","cashmere bathrobe"
"#AAACB0","petal pushers"
"#959495","for the twill of it"
"#91929B","winning streak"
"#787279","twill seeker"
"#969492","tribal text-styles"
"#837E81","over the edge"
"#565F5C","hang up the heels"
"#78777C","on mute"
"#78706D","generation zen"
"#4E4E4E","licorice"
"#BCA793","semi-precious tones"
"#E1AA97","steel the show"
"#D6A499","gorge-ous geodes"
"#B9B8B4","rock your world"
"#C58E6D","what s gold is new"
"#A67565","sun-day style"
"#C95DA3","get a psy-kick out of it"
"#F1DECA","mani thanks"
"#F86DA1","happy medium"
"#ECD2D8","birthday girl"
"#C4BCC6","congrats"
"#DBC48D","million mile hues"
"#E6DCD7","venture to the venue"
"#EBC8D0","beat of the moment"
"#DAAE89","can't stop her in copper"
"#B17D97","city slicker"
"#AAAAAF","stay up slate"
"#709FA4","night owl"
"#CCCED3","après-chic"
"#C9A6A9","a cut above"
"#BEBAAF","beyond cozy"
"#C4A593","daring damsel"
"#BDC0C0","empire shade of mind"
"#BBB8B3","fashion faceoff"
"#D8CAA4","getting groovy"
"#E7BABA","gold gilding"
"#E8DDD1","good as gold"
"#BDBBBF","jazzy jubilant"
"#BB9876","leggy legend"
"#CFCFCF","no place like chrome"
"#C6B3AA","penny talk"
"#EEEAE8","pure pearlfection"
"#D0C5AD","rock at the top"
"#D99D86","say it ain't soho"
"#BEC0C4","set in stones"
"#EAE9E8","sparkle on top"
"#E9C098","star studded"
"#D1BEAA","summit of style"
"#D6C2B9","to have and to gold"
"#F0DEB7","you're golden"
"#E71F4D","Lucky Dior"
"#C72240","Love"
"#CAACA4","Enchanted"
"#FDD9CB","Muguet"
"#E83741","Diorcharm"
"#C31B4F","Popsicle"
"#EE809D","Twinkle"
"#DF372C","Star"
"#A1818C","Fantasmatic"
"#BD226E","Bubble gum"
"#F9C9C9","Tra-la-la"
"#5B1F52","Diorcelestial"
"#F08176","Maybe"
"#9B4164","687"
"#AC2335","Be Dior"
"#491720","Candy cane"
"#D09493","Incognito"
"#E74366","Coraloha"
"#942D72","Mirage"
"#977D7C","Palais royal"
"#C88773","Sienna"
"#617687","Junon"
"#E51E31","Aventure"
"#E83A53","Wonderland"
"#B28975","Vibrato"
"#E40040","Lucky"
"#E30B6E","Bonheur"
"#C90205","Pandore"
"#C70F55","Front row"
"#B53953","Cosmopolite"
"#780C19","Massaï"
"#340100","Nuit 1947"
"#A10705","Rouge 999"
"#88A7BB","Head In The Clouds"
"#E1CBE0","Everything's Peachy"
"#015F9D","Turned down"
