"colors","names","r","g","b"
"#CAADCD","Perrie",202,173,205
"#C1ABC2","Malia",193,171,194
"#CCB1C4","Trudith",204,177,196
"#90748B","Michaela",144,116,139
"#BE9DBA","Millie",190,157,186
"#C398BA","Kieko",195,152,186
"#AB92A8","Tru",171,146,168
"#988593","Lael",152,133,147
"#8F788B","Casey",143,120,139
"#654E66","Gabi",101,78,102
"#978797","Leighton",151,135,151
"#A7839B","Haven",167,131,155
"#B88AAD","Rie",184,138,173
"#A68A9E","Roxy",166,138,158
"#AC90A5","Maeve",172,144,165
"#9F8A92","Isadora",159,138,146
"#A77994","Tara",167,121,148
"#B18AA3","Margo",177,138,163
"#93597E","Ripley",147,89,126
"#CCA6CF","Lois",204,166,207
"#B79BBB","Evette",183,155,187
"#A38CB3","Mira",163,140,179
"#A48AAC","Hope",164,138,172
"#AD96AC","Landon",173,150,172
"#A99CB8","Delaney",169,156,184
"#95859A","Yasmeen",149,133,154
"#9583A0","Lidia",149,131,160
"#8B798F","Iris MatteVelvet",139,121,143
"#8E818C","Sansa",142,129,140
"#947F97","Juno",148,127,151
"#AC8FA8","Aurora",172,143,168
"#A38EA3","Thea",163,142,163
"#AEA0AF","Daul",174,160,175
"#927F96","Giada",146,127,150
"#B0A2B5","Cookie",176,162,181
"#988AA2","Carter PixieDust - Textured",152,138,162
"#8A8098","Belinda",138,128,152
"#9685A4","Suri",150,133,164
"#8C799A","Pinta",140,121,154
"#A297B3","Chiara",162,151,179
"#9D90AE","Finley",157,144,174
"#918A94","Julieanne",145,138,148
"#908AA4","Mimi",144,138,164
"#8B85A4","Neve",139,133,164
"#9890BB","Isa",152,144,187
"#A9ABCB","Gardner",169,171,203
"#A09EC9","Danielle",160,158,201
"#AFA4BA","Zara",175,164,186
"#B4A6B9","Lotus",180,166,185
"#B0A8B9","Nimue",176,168,185
"#9790A3","Neeka",151,144,163
"#93919A","Kelly",147,145,154
"#9F99A1","Ki",159,153,161
"#9E99A1","Petra",158,153,161
"#CCBBD0","Hudson",204,187,208
"#DFD6DC","Kendal",223,214,220
"#ECDEED","Abby",236,222,237
"#E0D9E1","Megan",224,217,225
"#BDBBC7","Caitlin",189,187,199
"#A4A9C4","Prim",164,169,196
"#A6A1CC","Serenity",166,161,204
"#A5A4CA","Alice - PixieDust - Textured",165,164,202
"#B2B2D6","Aster",178,178,214
"#75748D","Vesper",117,116,141
"#ADB0CB","Aire",173,176,203
"#B7BCD0","Jo",183,188,208
"#A4A5AF","Marina",164,165,175
"#9C9AA4","Freja",156,154,164
"#AEBBC8","FeiFei",174,187,200
"#C6CDD2","Hazel",198,205,210
"#C3C4D0","Nyx PixieDust - Textured",195,196,208
"#CBCDD4","August",203,205,212
"#E2E5F1","Miley",226,229,241
"#D6DFE8","Kristen",214,223,232
"#E6EEF6","Blu",230,238,246
"#DAF0F7","Eleni",218,240,247
"#D2E5E6","Lillian",210,229,230
"#CCDBDD","Lake",204,219,221
"#C1C9CA","Fern",193,201,202
"#C7D4E1","Darby",199,212,225
"#CBDEE2","Amira",203,222,226
"#D4E4F1","Mosheen",212,228,241
"#DAE5ED","Saldana",218,229,237
"#CDD6D8","Vega - Magical PixieDust - Textured",205,214,216
"#A8BBC7","Skylar",168,187,199
NA,"Bay - PixieDust - Textured",NA,NA,NA
"#97CAD8","Rocky",151,202,216
"#93B3C1","Charla",147,179,193
"#88A8B9","Twila",136,168,185
"#869DAD","Liberty - PixieDust - Textured",134,157,173
"#A0B8CC","Breezi",160,184,204
"#79B3C7","Oceane",121,179,199
"#B2DDE7","Rayne",178,221,231
"#B6CEE3","Yummy",182,206,227
"#75C3E6","Robyn",117,195,230
"#72B8E8","Juvia - Neon",114,184,232
"#74A5D0","Mallory",116,165,208
"#76ACCD","Ling",118,172,205
"#8AA7CC","Tallulah",138,167,204
"#85ABD5","Walker",133,171,213
"#7B9BC9","Sia",123,155,201
"#8EA3CC","Tart",142,163,204
"#87B5DD","River",135,181,221
"#A1B8DB","Saint",161,184,219
"#74B5D4","Dory",116,181,212
"#8CB2D1","Muse",140,178,209
"#5184B1","Alessia",81,132,177
"#8E97B7","Nori",142,151,183
"#8690A8","Dream",134,144,168
"#8793AF","Waverly - PixieDust - Textured",135,147,175
"#8294BB","Estelle",130,148,187
"#8376D5","Mirajane - Neon",131,118,213
"#8B93B9","Song",139,147,185
"#464E72","Jen",70,78,114
"#777996","Ibiza",119,121,150
"#788593","Indigo",120,133,147
"#475E76","Elliot",71,94,118
"#7E8894","Remy",126,136,148
"#90A2A6","Juniper",144,162,166
"#7E8B96","Olivera",126,139,150
"#728AA0","Yves MatteVelvet",114,138,160
"#88939D","Natty",136,147,157
"#84AAAD","Danica",132,170,173
"#BFCCC6","Bevin",191,204,198
"#BCCCC9","Wednesday",188,204,201
"#C1DED0","Dillon",193,222,208
"#B3D2D6","Rebel",179,210,214
"#88BDBF","Frida",136,189,191
"#74BDC0","Talia",116,189,192
"#74C6BC","Cecilia",116,198,188
"#A9CDC5","Zuza",169,205,197
"#79B3A9","Selene",121,179,169
"#7E9B93","Merida",126,155,147
"#85C2AC","Ness",133,194,172
"#89A69F","Giovanna",137,166,159
"#A0A89E","Chita",160,168,158
"#80998F","Elphie - PixieDust - Textured",128,153,143
"#74AF99","Honor MatteVelvet",116,175,153
"#72A79D","Wyatt",114,167,157
"#9CA3A2","Evvie",156,163,162
"#939893","Noot",147,152,147
"#8A9088","Hunter",138,144,136
"#8E9786","Envy",142,151,134
"#919685","Shawn",145,150,133
"#9DA796","Logan",157,167,150
"#97AF9A","Ivanka",151,175,154
"#A1BCA0","Cece - PixieDust - Textured",161,188,160
"#C2CBAB","Meg",194,203,171
"#B5C6A4","Apple",181,198,164
"#98C8A4","Stassi",152,200,164
"#73CC9E","Evergreen - Neon",115,204,158
"#A9BF94","Jace",169,191,148
"#AFC6A6","Josie",175,198,166
"#B8C797","Midori",184,199,151
"#B8D29D","Tilda",184,210,157
"#D7E6B4","Tangy",215,230,180
"#B4B6A6","Gemma",180,182,166
"#C1BDA2","Arbor",193,189,162
"#D2D7B5","Tracie",210,215,181
"#C0CEBF","Rikki",192,206,191
"#CED7C7","Vespa PixieDust - Textured",206,215,199
"#E3EFDA","Tiana",227,239,218
"#E6EEE0","Neely",230,238,224
"#D6DFD7","Lacey",214,223,215
"#9AA29A","Tabitha",154,162,154
"#A9A99D","Yara",169,169,157
"#A9A59E","Charli",169,165,158
"#ABA899","Dree",171,168,153
"#C2C3B4","Ireland",194,195,180
"#BBBFB7","Sage",187,191,183
"#CDC8BD","Misty",205,200,189
"#D5CDA9","Scout",213,205,169
"#D8D0BA","Gal",216,208,186
"#E2D4AB","Ziv",226,212,171
"#F6E6C4","Brooklyn",246,230,196
"#E7D79A","Solange - PixieDust - Textured",231,215,154
"#F4E48F","Kerry",244,228,143
"#F5E18E","Pippa",245,225,142
"#F9E78D","Darcy",249,231,141
"#FDEDB4","Daisy",253,237,180
"#F9EACD","Bee",249,234,205
"#F0E2C6","Maria-Luisa",240,226,198
"#D1B2A4","Kaede",209,178,164
"#CDB490","Goldie",205,180,144
"#D1B499","Aggie",209,180,153
"#C5B2A2","Flynn",197,178,162
"#B3A09B","Nyssa",179,160,155
"#B3A39D","Chanelle",179,163,157
"#9B8A7F","Cinnamon",155,138,127
"#AC9796","Mary",172,151,150
"#C5ACA5","Flowie",197,172,165
"#AE9D98","Dea",174,157,152
"#946C6B","Foster",148,108,107
"#9F8D8A","Gina",159,141,138
"#998C84","Desiree",153,140,132
